feature,cover
SYN Flag Count,34033.453125
Fwd PSH Flags,29726.689453125
Active Std,22659.453125
Bwd Packet Length Std,15335.654296875
Down/Up Ratio,14741.2294921875
Avg Fwd Segment Size,13580.771484375
Fwd Packet Length Min,13444.0576171875
Min Packet Length,13350.291015625
Average Packet Size,9703.2578125
Bwd Packet Length Min,9234.6982421875
act_data_pkt_fwd,9073.685546875
Bwd Packet Length Mean,8934.966796875
Fwd Packet Length Mean,8564.125
Packet Length Mean,8439.79296875
Total Length of Fwd Packets,7482.9931640625
PSH Flag Count,7162.5439453125
Avg Bwd Segment Size,6793.12744140625
Fwd Packet Length Std,6636.4765625
Subflow Bwd Bytes,6537.2763671875
Total Length of Bwd Packets,6306.8046875
Max Packet Length,6039.96484375
Subflow Fwd Bytes,6023.876953125
URG Flag Count,5987.0029296875
Fwd Header Length,5659.2587890625
FIN Flag Count,5518.67236328125
Init_Win_bytes_backward,5071.73291015625
Bwd Header Length,5019.08203125
Fwd Header Length.1,4890.02685546875
Total Fwd Packets,4515.595703125
min_seg_size_forward,4284.47509765625
Bwd IAT Min,3921.88916015625
Subflow Bwd Packets,3714.6181640625
Bwd IAT Mean,3203.90771484375
Total Backward Packets,2585.538330078125
Fwd Packet Length Max,2467.059814453125
Idle Max,2347.566162109375
Subflow Fwd Packets,2156.618896484375
Active Min,1983.072509765625
Active Mean,1898.0970458984375
Bwd Packet Length Max,1739.16064453125
Idle Mean,1714.3087158203125
Packet Length Std,1709.628662109375
Bwd Packets/s,1530.241455078125
Idle Std,1469.367431640625
Destination Port,1401.4927978515625
ACK Flag Count,1151.201416015625
Packet Length Variance,1047.6893310546875
Init_Win_bytes_forward,1014.6282958984375
Active Max,875.7466430664062
Fwd IAT Min,803.1898193359375
Flow Bytes/s,745.6044921875
Bwd IAT Std,698.2283935546875
Flow IAT Std,633.1533203125
Bwd IAT Total,591.7345581054688
Flow IAT Mean,571.2011108398438
Flow Packets/s,513.9911499023438
Bwd IAT Max,485.7900085449219
Flow IAT Min,461.8088684082031
Idle Min,402.2985534667969
Flow IAT Max,393.29833984375
Fwd IAT Std,316.0481872558594
Fwd IAT Total,309.24609375
Fwd IAT Max,304.60931396484375
Fwd IAT Mean,287.4146423339844
Flow Duration,278.8196105957031
Fwd Packets/s,252.591064453125
