feature,gain
Bwd Packet Length Min,4813.0634765625
PSH Flag Count,3507.42822265625
act_data_pkt_fwd,2448.46435546875
Bwd Packet Length Std,1563.3759765625
Total Length of Bwd Packets,1499.501953125
Idle Mean,1231.2003173828125
Fwd Packet Length Min,1127.4224853515625
Subflow Bwd Bytes,1113.4835205078125
Total Fwd Packets,1047.2816162109375
Average Packet Size,1020.612548828125
Idle Max,916.653076171875
Fwd Packet Length Mean,896.026123046875
Subflow Bwd Packets,831.9317016601562
Avg Fwd Segment Size,816.6279296875
SYN Flag Count,799.5969848632812
Bwd Header Length,762.245361328125
Active Std,704.5986938476562
Total Backward Packets,568.1941528320312
Fwd PSH Flags,568.1484985351562
Packet Length Mean,549.495849609375
Total Length of Fwd Packets,547.672607421875
Bwd Packet Length Mean,434.6009521484375
Min Packet Length,421.7921447753906
FIN Flag Count,417.128662109375
min_seg_size_forward,385.6174621582031
Init_Win_bytes_backward,376.7721862792969
Max Packet Length,320.8017272949219
Fwd Packet Length Max,307.6529541015625
Bwd Packets/s,301.3297424316406
Fwd Header Length.1,226.5579833984375
Fwd Header Length,224.4114227294922
Packet Length Std,203.147216796875
Destination Port,189.15721130371094
Subflow Fwd Packets,160.94320678710938
Avg Bwd Segment Size,145.87811279296875
Active Mean,145.24176025390625
Bwd IAT Mean,129.676513671875
Bwd IAT Min,125.80546569824219
Subflow Fwd Bytes,101.33904266357422
Bwd Packet Length Max,96.32486724853516
Fwd Packet Length Std,85.654541015625
Init_Win_bytes_forward,77.51069641113281
ACK Flag Count,64.96395111083984
Bwd IAT Total,64.31745910644531
Packet Length Variance,60.87049102783203
Down/Up Ratio,58.500797271728516
Fwd IAT Std,53.90459060668945
Active Min,52.935218811035156
Flow IAT Mean,40.93381881713867
Flow IAT Std,34.04914093017578
Bwd IAT Std,25.935453414916992
Active Max,22.838911056518555
Bwd IAT Max,22.37893295288086
Idle Min,20.234920501708984
Fwd IAT Min,19.265331268310547
Flow IAT Max,19.152570724487305
URG Flag Count,17.79205322265625
Flow Bytes/s,16.25756072998047
Fwd Packets/s,14.028937339782715
Flow IAT Min,12.286482810974121
Flow Packets/s,12.231260299682617
Fwd IAT Mean,11.807690620422363
Flow Duration,10.32724380493164
Idle Std,6.667341232299805
Fwd IAT Max,5.400928974151611
Fwd IAT Total,4.8870849609375
