label,precision,recall,f1,support,TP,FP,FN,TN,accuracy_ova
BENIGN,0.9999053482633607,0.9991949320311468,0.9995500139176624,454620,454254,43,366,111486,0.999277575337941
Bot,0.7763713080168776,0.9363867684478372,0.8489042675893888,393,368,106,25,565650,0.9997686121498051
DDoS,0.9998437927129301,0.9998828399593845,0.9998633159549333,25606,25603,4,3,540539,0.9999876357637301
DoS GoldenEye,0.9985429820301117,0.9985429820301117,0.9985429820301117,2059,2056,3,3,564087,0.9999894020831972
DoS Hulk,0.998573713100229,0.9998485340257492,0.9992107169501238,46215,46208,66,7,519868,0.999871058678899
DoS Slowhttptest,0.9927338782924614,0.9936363636363637,0.9931849159472966,1100,1093,8,7,565041,0.999973505207993
DoS slowloris,0.9914089347079038,0.9956859361518551,0.993542832544124,1159,1154,10,5,564980,0.999973505207993
FTP - Patator,1.0,0.9993702770780857,0.9996850393700787,1588,1587,0,1,564561,0.9999982336805329
Heartbleed,1.0,1.0,1.0,2,2,0,0,566147,1.0
Infiltration,1.0,0.8571428571428571,0.9230769230769231,7,6,0,1,566142,0.9999982336805329
PortScan,0.9940554408359927,0.9995595545208582,0.9967998996046935,31786,31772,190,14,534173,0.9996396708287041
SSH - Patator,0.9991525423728813,1.0,0.9995760915642221,1179,1179,1,0,564969,0.9999982336805329
WebAttack-BruteForce,0.762987012987013,0.7807308970099668,0.7717569786535303,301,235,73,66,565775,0.999754481594068
WebAttack-SQLi,0.6666666666666666,1.0,0.8,4,4,2,0,566143,0.9999964673610657
WebAttack-XSS,0.45081967213114754,0.4230769230769231,0.4365079365079365,130,55,67,75,565952,0.9997491826356666
